"","X","i","j","pocp","population"
"199231",244,"19AcAm208.3.1","19AcS398Asp.2.1",0.838752052545156,"species"
"19924",244,"19AcAm208.3.1","19AcAm205.1.1",0.848521792136544,"species"
"199651",244,"19AcAm208.3.1","19AcS313A.1.1",0.839228638397613,"species"
"54027",244,"19AcS313A.1.1","05LoH15.1",0.832044439603529,"species"
"540291",244,"19AcS313A.1.1","19AcAm208.3.1",0.839228638397613,"species"
"54064",244,"19AcS313A.1.1","19AcAm205.1.1",0.816418938871936,"species"
"54184",244,"19AcS313A.1.1","19AcS398Asp.2.1",0.852713998518675,"species"
"551931",244,"19AcS398Asp.2.1","19AcAm205.1.1",0.832256762212354,"species"
"55231",244,"19AcS398Asp.2.1","19AcS313A.1.1",0.852713998518675,"species"
"552451",244,"19AcS398Asp.2.1","19AcAm208.3.1",0.838752052545156,"species"
"55402",244,"19AcS398Asp.2.1","05LoH15.1",0.817693169092945,"species"
"323521",245,"19AcARN282.3.1","19AcGLB102.2.2",0.998032141685799,"all1"
"323715",245,"19AcARN282.3.1","19AcHe316.1.1",0.997704165300098,"all1"
"324263",245,"19AcARN282.3.1","19AcS181.3.1",0.998688094457199,"all1"
"324284",245,"19AcARN282.3.1","19AcS183.2.1",0.998688094457199,"all1"
"381391",245,"19AcGLB102.2.2","19AcARN282.3.1",0.998032141685799,"all1"
"38179166",245,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"all1"
"382343",245,"19AcGLB102.2.2","19AcS181.3.1",0.998688094457199,"all1"
"382363",245,"19AcGLB102.2.2","19AcS183.2.1",0.998688094457199,"all1"
"431555",245,"19AcHe316.1.1","19AcARN282.3.1",0.997704165300098,"all1"
"43177166",245,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"all1"
"432501",245,"19AcHe316.1.1","19AcS181.3.1",0.998360118071499,"all1"
"432522",245,"19AcHe316.1.1","19AcS183.2.1",0.998360118071499,"all1"
"576753",245,"19AcS181.3.1","19AcARN282.3.1",0.998688094457199,"all1"
"576973",245,"19AcS181.3.1","19AcGLB102.2.2",0.998688094457199,"all1"
"577161",245,"19AcS181.3.1","19AcHe316.1.1",0.998360118071499,"all1"
"577721",245,"19AcS181.3.1","19AcS183.2.1",0.999344047228599,"all1"
"582035",245,"19AcS183.2.1","19AcARN282.3.1",0.998688094457199,"all1"
"582252",245,"19AcS183.2.1","19AcGLB102.2.2",0.998688094457199,"all1"
"582442",245,"19AcS183.2.1","19AcHe316.1.1",0.998360118071499,"all1"
"582992",245,"19AcS183.2.1","19AcS181.3.1",0.999344047228599,"all1"
"513372",245,"05LoS3_1","19AcAm43.3.1",0.995080354214497,"I3"
"514067",245,"05LoS3_1","19AcARN300.2.1",0.997704165300098,"I3"
"517960",245,"05LoS3_1","19AcHe316.1.1",0.996720236142998,"I3"
"527673",245,"05LoS3_1","CW9",0.998032141685799,"I3"
"3090872",245,"19AcAm43.3.1","05LoS3_1",0.995080354214497,"I3"
"3101264",245,"19AcAm43.3.1","19AcARN300.2.1",0.996064283371597,"I3"
"3105161",245,"19AcAm43.3.1","19AcHe316.1.1",0.995736306985897,"I3"
"3114863",245,"19AcAm43.3.1","CW9",0.997048212528698,"I3"
"3275668",245,"19AcARN300.2.1","05LoS3_1",0.997704165300098,"I3"
"3285464",245,"19AcARN300.2.1","19AcAm43.3.1",0.996064283371597,"I3"
"3289964",245,"19AcARN300.2.1","19AcHe316.1.1",0.997704165300098,"I3"
"3299674",245,"19AcARN300.2.1","CW9",0.999016070842899,"I3"
"4305260",245,"19AcHe316.1.1","05LoS3_1",0.996720236142998,"I3"
"4315060",245,"19AcHe316.1.1","19AcAm43.3.1",0.995736306985897,"I3"
"4315764",245,"19AcHe316.1.1","19AcARN300.2.1",0.997704165300098,"I3"
"4329266",245,"19AcHe316.1.1","CW9",0.998688094457199,"I3"
"6866071",245,"CW9","05LoS3_1",0.998032141685799,"I3"
"6875863",245,"CW9","19AcAm43.3.1",0.997048212528698,"I3"
"6876574",245,"CW9","19AcARN300.2.1",0.999016070842899,"I3"
"6880466",245,"CW9","19AcHe316.1.1",0.998688094457199,"I3"
"2494221",245,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"2520156",245,"05LoS16R1_16","19AcGLB102.2.2",0.997376188914398,"R3"
"2529161",245,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"2539222",245,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"31162220",245,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"31296162",245,"19AcARN268.1.1","19AcGLB102.2.2",0.998032141685799,"R3"
"31305166",245,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"31315220",245,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"38026151",245,"19AcGLB102.2.2","05LoS16R1_16",0.997376188914398,"R3"
"38135162",245,"19AcGLB102.2.2","19AcARN268.1.1",0.998032141685799,"R3"
"38169160",245,"19AcGLB102.2.2","19AcGLB198.2.2",0.997376188914398,"R3"
"38179167",245,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"R3"
"40402156",245,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
"40511166",245,"19AcGLB198.2.2","19AcARN268.1.1",0.997376188914398,"R3"
"40537160",245,"19AcGLB198.2.2","19AcGLB102.2.2",0.997376188914398,"R3"
"40555169",245,"19AcGLB198.2.2","19AcHe316.1.1",0.997048212528698,"R3"
"43042222",245,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"43151220",245,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"43177167",245,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"R3"
"43186169",245,"19AcHe316.1.1","19AcGLB198.2.2",0.997048212528698,"R3"
"2483",245,"05LoS1_7","19AcS313B.1.1",0.814204608705332,"metapop"
"2550",245,"05LoS1_7","19AcPa174.3.1",0.833710407239819,"metapop"
"2574",245,"05LoS1_7","19AcGLB102.2.2",0.831992538183514,"metapop"
"25944",245,"05LoS1_7","19AcNV334.1.1",0.810487060684823,"metapop"
"324312",245,"19AcGLB102.2.2","19AcS313B.1.1",0.887858529221479,"metapop"
"32505",245,"19AcGLB102.2.2","19AcPa174.3.1",0.808345197678239,"metapop"
"32583",245,"19AcGLB102.2.2","05LoS1_7",0.831992538183514,"metapop"
"32663",245,"19AcGLB102.2.2","19AcNV334.1.1",0.869146608315098,"metapop"
"38766",245,"19AcNV334.1.1","19AcPa174.3.1",0.804636818036797,"metapop"
"38828",245,"19AcNV334.1.1","19AcGLB102.2.2",0.869146608315098,"metapop"
"38883",245,"19AcNV334.1.1","05LoS1_7",0.810487060684823,"metapop"
"38928",245,"19AcNV334.1.1","19AcS313B.1.1",0.871673999580976,"metapop"
"43919",245,"19AcPa174.3.1","05LoS1_7",0.833710407239819,"metapop"
"43973",245,"19AcPa174.3.1","19AcGLB102.2.2",0.808345197678239,"metapop"
"43992",245,"19AcPa174.3.1","19AcS313B.1.1",0.804236132955856,"metapop"
"44023",245,"19AcPa174.3.1","19AcNV334.1.1",0.804636818036797,"metapop"
"54490",245,"19AcS313B.1.1","19AcGLB102.2.2",0.887858529221479,"metapop"
"54503",245,"19AcS313B.1.1","05LoS1_7",0.814204608705332,"metapop"
"54515",245,"19AcS313B.1.1","19AcNV334.1.1",0.871673999580976,"metapop"
"54541",245,"19AcS313B.1.1","19AcPa174.3.1",0.804236132955856,"metapop"
"510",245,"05LoM26.3","19AcGLB198.1.2",0.805346789778828,"species"
"571",245,"05LoM26.3","19AcPa178.2.1",0.828894097592158,"species"
"6455",245,"05LoM26.3","19AcPa284.3.1",0.836773614538928,"species"
"701",245,"05LoM26.3","05LoS14_6",0.852331606217617,"species"
"1246",245,"05LoS14_6","19AcPa284.3.1",0.830758588886327,"species"
"1310",245,"05LoS14_6","19AcGLB198.1.2",0.835463962971126,"species"
"1315",245,"05LoS14_6","05LoM26.3",0.852331606217617,"species"
"1353",245,"05LoS14_6","19AcPa178.2.1",0.816203804942051,"species"
"344113",245,"19AcGLB198.1.2","05LoM26.3",0.805346789778828,"species"
"344724",245,"19AcGLB198.1.2","05LoS14_6",0.835463962971126,"species"
"345761",245,"19AcGLB198.1.2","19AcPa178.2.1",0.872573575453976,"species"
"346051",245,"19AcGLB198.1.2","19AcPa284.3.1",0.853896816684962,"species"
"455021",245,"19AcPa178.2.1","19AcGLB198.1.2",0.872573575453976,"species"
"45663",245,"19AcPa178.2.1","05LoS14_6",0.816203804942051,"species"
"45683",245,"19AcPa178.2.1","19AcPa284.3.1",0.871596602047484,"species"
"45735",245,"19AcPa178.2.1","05LoM26.3",0.828894097592158,"species"
"46557",245,"19AcPa284.3.1","05LoS14_6",0.830758588886327,"species"
"466021",245,"19AcPa284.3.1","19AcGLB198.1.2",0.853896816684962,"species"
"466061",245,"19AcPa284.3.1","05LoM26.3",0.836773614538928,"species"
"46706",245,"19AcPa284.3.1","19AcPa178.2.1",0.871596602047484,"species"
"504086",246,"05LoS3_1","09LoS36_3",0.996064283371597,"all1"
"50572",246,"05LoS3_1","11LoS28_6",0.997704165300098,"all1"
"50981",246,"05LoS3_1","19AcAm185.3.1",0.997376188914398,"all1"
"514068",246,"05LoS3_1","19AcARN300.2.1",0.997704165300098,"all1"
"635685",246,"09LoS36_3","05LoS3_1",0.996064283371597,"all1"
"63772",246,"09LoS36_3","11LoS28_6",0.998360118071499,"all1"
"64183",246,"09LoS36_3","19AcAm185.3.1",0.997376188914398,"all1"
"646070",246,"09LoS36_3","19AcARN300.2.1",0.997048212528698,"all1"
"108441",246,"11LoS28_6","05LoS3_1",0.997704165300098,"all1"
"108492",246,"11LoS28_6","09LoS36_3",0.998360118071499,"all1"
"109062",246,"11LoS28_6","19AcAm185.3.1",0.999016070842899,"all1"
"109484",246,"11LoS28_6","19AcARN300.2.1",0.998688094457199,"all1"
"216681",246,"19AcAm185.3.1","05LoS3_1",0.997376188914398,"all1"
"216733",246,"19AcAm185.3.1","09LoS36_3",0.997376188914398,"all1"
"216902",246,"19AcAm185.3.1","11LoS28_6",0.999016070842899,"all1"
"217722",246,"19AcAm185.3.1","19AcARN300.2.1",0.998360118071499,"all1"
"3275669",246,"19AcARN300.2.1","05LoS3_1",0.997704165300098,"all1"
"3276170",246,"19AcARN300.2.1","09LoS36_3",0.997048212528698,"all1"
"327785",246,"19AcARN300.2.1","11LoS28_6",0.998688094457199,"all1"
"328193",246,"19AcARN300.2.1","19AcAm185.3.1",0.998360118071499,"all1"
"239579",246,"05LoS16R1_16","05LoS3_1",0.995736306985897,"I3"
"240086",246,"05LoS16R1_16","09LoS36_3",0.995736306985897,"I3"
"2539223",246,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"I3"
"257374",246,"05LoS16R1_16","19AcPa177.2.2",0.996064283371597,"I3"
"502679",246,"05LoS3_1","05LoS16R1_16",0.995736306985897,"I3"
"5040110",246,"05LoS3_1","09LoS36_3",0.996064283371597,"I3"
"517961",246,"05LoS3_1","19AcHe316.1.1",0.996720236142998,"I3"
"521384",246,"05LoS3_1","19AcPa177.2.2",0.996392259757298,"I3"
"634683",246,"09LoS36_3","05LoS16R1_16",0.995736306985897,"I3"
"6356110",246,"09LoS36_3","05LoS3_1",0.996064283371597,"I3"
"649971",246,"09LoS36_3","19AcHe316.1.1",0.996720236142998,"I3"
"653378",246,"09LoS36_3","19AcPa177.2.2",0.996392259757298,"I3"
"43042223",246,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"I3"
"4305261",246,"19AcHe316.1.1","05LoS3_1",0.996720236142998,"I3"
"4305771",246,"19AcHe316.1.1","09LoS36_3",0.996720236142998,"I3"
"4322959",246,"19AcHe316.1.1","19AcPa177.2.2",0.997048212528698,"I3"
"5201870",246,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"5202870",246,"19AcPa177.2.2","05LoS3_1",0.996392259757298,"I3"
"5203378",246,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"5217259",246,"19AcPa177.2.2","19AcHe316.1.1",0.997048212528698,"I3"
"2494222",246,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"2520157",246,"05LoS16R1_16","19AcGLB102.2.2",0.997376188914398,"R3"
"2529162",246,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"25391102",246,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"31162221",246,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"31296163",246,"19AcARN268.1.1","19AcGLB102.2.2",0.998032141685799,"R3"
"31305167",246,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"31315221",246,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"38026152",246,"19AcGLB102.2.2","05LoS16R1_16",0.997376188914398,"R3"
"38135163",246,"19AcGLB102.2.2","19AcARN268.1.1",0.998032141685799,"R3"
"38169161",246,"19AcGLB102.2.2","19AcGLB198.2.2",0.997376188914398,"R3"
"38179168",246,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"R3"
"40402157",246,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
"40511167",246,"19AcGLB198.2.2","19AcARN268.1.1",0.997376188914398,"R3"
"40537161",246,"19AcGLB198.2.2","19AcGLB102.2.2",0.997376188914398,"R3"
"40555170",246,"19AcGLB198.2.2","19AcHe316.1.1",0.997048212528698,"R3"
"430421102",246,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"43151221",246,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"43177168",246,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"R3"
"43186170",246,"19AcHe316.1.1","19AcGLB198.2.2",0.997048212528698,"R3"
"2718",246,"05LoS21R6_43","19AcD271.1.1",0.85532331809275,"metapop"
"27571",246,"05LoS21R6_43","CW11",0.881258941344778,"metapop"
"2850",246,"05LoS21R6_43","19AcAM288.1.1",0.754483063980518,"metapop"
"28841",246,"05LoS21R6_43","19AcARN282.2.1",0.86508370718897,"metapop"
"21606",246,"19AcAM288.1.1","19AcARN282.2.1",0.748941712797135,"metapop"
"21631",246,"19AcAM288.1.1","05LoS21R6_43",0.754483063980518,"metapop"
"21754",246,"19AcAM288.1.1","CW11",0.748171596987228,"metapop"
"21777",246,"19AcAM288.1.1","19AcD271.1.1",0.746652267818575,"metapop"
"26915",246,"19AcARN282.2.1","19AcAM288.1.1",0.748941712797135,"metapop"
"27025",246,"19AcARN282.2.1","19AcD271.1.1",0.902616123865457,"metapop"
"270711",246,"19AcARN282.2.1","05LoS21R6_43",0.86508370718897,"metapop"
"27076",246,"19AcARN282.2.1","CW11",0.864126915605439,"metapop"
"29340",246,"19AcD271.1.1","CW11",0.86051755610437,"metapop"
"29344",246,"19AcD271.1.1","19AcAM288.1.1",0.746652267818575,"metapop"
"29345",246,"19AcD271.1.1","05LoS21R6_43",0.85532331809275,"metapop"
"29399",246,"19AcD271.1.1","19AcARN282.2.1",0.902616123865457,"metapop"
"57471",246,"CW11","19AcAM288.1.1",0.748171596987228,"metapop"
"57519",246,"CW11","19AcARN282.2.1",0.864126915605439,"metapop"
"57577",246,"CW11","19AcD271.1.1",0.86051755610437,"metapop"
"575901",246,"CW11","05LoS21R6_43",0.881258941344778,"metapop"
"264031",246,"19AcARN268.3.1","19AcS295.2.1",0.851566735335574,"species"
"26471",246,"19AcARN268.3.1","19AcGLB102.2.2",0.878421810927629,"species"
"26573",246,"19AcARN268.3.1","19AcS309.1.1",0.876260709250624,"species"
"26616",246,"19AcARN268.3.1","19AcS398sp.3.1",0.842282255352539,"species"
"32521",246,"19AcGLB102.2.2","19AcARN268.3.1",0.878421810927629,"species"
"32526",246,"19AcGLB102.2.2","19AcS398sp.3.1",0.87554186630162,"species"
"32619",246,"19AcGLB102.2.2","19AcS295.2.1",0.877370974856639,"species"
"32628",246,"19AcGLB102.2.2","19AcS309.1.1",0.872600926538716,"species"
"51603",246,"19AcS295.2.1","19AcS398sp.3.1",0.851438768681686,"species"
"516322",246,"19AcS295.2.1","19AcS309.1.1",0.849557522123894,"species"
"516701",246,"19AcS295.2.1","19AcARN268.3.1",0.851566735335574,"species"
"51777",246,"19AcS295.2.1","19AcGLB102.2.2",0.877370974856639,"species"
"53100",246,"19AcS309.1.1","19AcS398sp.3.1",0.83433734939759,"species"
"53173",246,"19AcS309.1.1","19AcGLB102.2.2",0.872600926538716,"species"
"532232",246,"19AcS309.1.1","19AcS295.2.1",0.849557522123894,"species"
"53225",246,"19AcS309.1.1","19AcARN268.3.1",0.876260709250624,"species"
"55511",246,"19AcS398sp.3.1","19AcARN268.3.1",0.842282255352539,"species"
"55519",246,"19AcS398sp.3.1","19AcS295.2.1",0.851438768681686,"species"
"55604",246,"19AcS398sp.3.1","19AcGLB102.2.2",0.87554186630162,"species"
"55608",246,"19AcS398sp.3.1","19AcS309.1.1",0.83433734939759,"species"
"58903",247,"09LoS35_1","19AcAm185.3.1",0.998688094457199,"all1"
"59181",247,"09LoS35_1","19AcAm40.3.1",0.997704165300098,"all1"
"59602",247,"09LoS35_1","19AcGLB198.1.2",0.997704165300098,"all1"
"60402",247,"09LoS35_1","19AcS311.1.1",0.997704165300098,"all1"
"216713",247,"19AcAm185.3.1","09LoS35_1",0.998688094457199,"all1"
"217584",247,"19AcAm185.3.1","19AcAm40.3.1",0.997704165300098,"all1"
"218004",247,"19AcAm185.3.1","19AcGLB198.1.2",0.997704165300098,"all1"
"218805",247,"19AcAm185.3.1","19AcS311.1.1",0.997704165300098,"all1"
"290631",247,"19AcAm40.3.1","09LoS35_1",0.997704165300098,"all1"
"291234",247,"19AcAm40.3.1","19AcAm185.3.1",0.997704165300098,"all1"
"291922",247,"19AcAm40.3.1","19AcGLB198.1.2",0.996720236142998,"all1"
"292722",247,"19AcAm40.3.1","19AcS311.1.1",0.996720236142998,"all1"
"401511",247,"19AcGLB198.1.2","09LoS35_1",0.997704165300098,"all1"
"402114",247,"19AcGLB198.1.2","19AcAm185.3.1",0.997704165300098,"all1"
"402392",247,"19AcGLB198.1.2","19AcAm40.3.1",0.996720236142998,"all1"
"40360",247,"19AcGLB198.1.2","19AcS311.1.1",0.996720236142998,"all1"
"612712",247,"19AcS311.1.1","09LoS35_1",0.997704165300098,"all1"
"613315",247,"19AcS311.1.1","19AcAm185.3.1",0.997704165300098,"all1"
"613592",247,"19AcS311.1.1","19AcAm40.3.1",0.996720236142998,"all1"
"61401",247,"19AcS311.1.1","19AcGLB198.1.2",0.996720236142998,"all1"
"239580",247,"05LoS16R1_16","05LoS3_1",0.995736306985897,"I3"
"2494223",247,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"I3"
"250075",247,"05LoS16R1_16","19AcARN300.2.1",0.996720236142998,"I3"
"2539224",247,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"I3"
"502680",247,"05LoS3_1","05LoS16R1_16",0.995736306985897,"I3"
"513459",247,"05LoS3_1","19AcARN268.1.1",0.997048212528698,"I3"
"514069",247,"05LoS3_1","19AcARN300.2.1",0.997704165300098,"I3"
"517962",247,"05LoS3_1","19AcHe316.1.1",0.996720236142998,"I3"
"31162222",247,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"I3"
"3117259",247,"19AcARN268.1.1","05LoS3_1",0.997048212528698,"I3"
"3127664",247,"19AcARN268.1.1","19AcARN300.2.1",0.998032141685799,"I3"
"31315222",247,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"I3"
"3274675",247,"19AcARN300.2.1","05LoS16R1_16",0.996720236142998,"I3"
"3275670",247,"19AcARN300.2.1","05LoS3_1",0.997704165300098,"I3"
"3285562",247,"19AcARN300.2.1","19AcARN268.1.1",0.998032141685799,"I3"
"3289965",247,"19AcARN300.2.1","19AcHe316.1.1",0.997704165300098,"I3"
"43042224",247,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"I3"
"4305262",247,"19AcHe316.1.1","05LoS3_1",0.996720236142998,"I3"
"43151222",247,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"I3"
"4315765",247,"19AcHe316.1.1","19AcARN300.2.1",0.997704165300098,"I3"
"24941104",247,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"2520158",247,"05LoS16R1_16","19AcGLB102.2.2",0.997376188914398,"R3"
"25391103",247,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"2609162",247,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"311621104",247,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"31296164",247,"19AcARN268.1.1","19AcGLB102.2.2",0.998032141685799,"R3"
"313151103",247,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"31385175",247,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"38026153",247,"19AcGLB102.2.2","05LoS16R1_16",0.997376188914398,"R3"
"38135164",247,"19AcGLB102.2.2","19AcARN268.1.1",0.998032141685799,"R3"
"38179169",247,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"R3"
"38249168",247,"19AcGLB102.2.2","19AcS312.2.1",0.997048212528698,"R3"
"430421103",247,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"431511104",247,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"43177169",247,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"R3"
"43265178",247,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"61522161",247,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"61631174",247,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"61657168",247,"19AcS312.2.1","19AcGLB102.2.2",0.997048212528698,"R3"
"61676178",247,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"3681",247,"05LoS23R7_12","11LoS14_3",0.744038668098818,"metapop"
"37641",247,"05LoS23R7_12","11LoS7_1",0.838083342795504,"metapop"
"3798",247,"05LoS23R7_12","19AcD298.1.1",0.75078711552434,"metapop"
"3866",247,"05LoS23R7_12","19AcNV335.1.1",0.730397097359403,"metapop"
"68781",247,"11LoS14_3","11LoS7_1",0.727848781011707,"metapop"
"6916",247,"11LoS14_3","19AcNV335.1.1",0.767983886437752,"metapop"
"6927",247,"11LoS14_3","05LoS23R7_12",0.744038668098818,"metapop"
"6938",247,"11LoS14_3","19AcD298.1.1",0.73191052271171,"metapop"
"11871",247,"11LoS7_1","19AcD298.1.1",0.747669209347379,"metapop"
"119701",247,"11LoS7_1","05LoS23R7_12",0.838083342795504,"metapop"
"119991",247,"11LoS7_1","11LoS14_3",0.727848781011707,"metapop"
"12095",247,"11LoS7_1","19AcNV335.1.1",0.735563841580167,"metapop"
"30747",247,"19AcD298.1.1","19AcNV335.1.1",0.706528696394282,"metapop"
"30782",247,"19AcD298.1.1","11LoS14_3",0.73191052271171,"metapop"
"309103",247,"19AcD298.1.1","05LoS23R7_12",0.75078711552434,"metapop"
"30937",247,"19AcD298.1.1","11LoS7_1",0.747669209347379,"metapop"
"39448",247,"19AcNV335.1.1","05LoS23R7_12",0.730397097359403,"metapop"
"39494",247,"19AcNV335.1.1","11LoS14_3",0.767983886437752,"metapop"
"39508",247,"19AcNV335.1.1","11LoS7_1",0.735563841580167,"metapop"
"39613",247,"19AcNV335.1.1","19AcD298.1.1",0.706528696394282,"metapop"
"2247",247,"05LoS16R1_16","19AcS11.2.1",0.878067484662577,"species"
"2318",247,"05LoS16R1_16","19AcAm205.1.1",0.814075949367089,"species"
"2340",247,"05LoS16R1_16","05LoS22_10",0.897808586762075,"species"
"23984",247,"05LoS16R1_16","19AcARN282.2.1",0.864404942553653,"species"
"2973",247,"05LoS22_10","19AcS11.2.1",0.882524054598344,"species"
"3025",247,"05LoS22_10","05LoS16R1_16",0.897808586762075,"species"
"3114",247,"05LoS22_10","19AcARN282.2.1",0.862660469234174,"species"
"3119",247,"05LoS22_10","19AcAm205.1.1",0.809808982963345,"species"
"18650",247,"19AcAm205.1.1","05LoS22_10",0.809808982963345,"species"
"18651",247,"19AcAm205.1.1","19AcS11.2.1",0.815077515452427,"species"
"18666",247,"19AcAm205.1.1","05LoS16R1_16",0.814075949367089,"species"
"186961",247,"19AcAm205.1.1","19AcARN282.2.1",0.809972910604997,"species"
"269331",247,"19AcARN282.2.1","05LoS16R1_16",0.864404942553653,"species"
"26989",247,"19AcARN282.2.1","05LoS22_10",0.862660469234174,"species"
"269931",247,"19AcARN282.2.1","19AcAm205.1.1",0.809972910604997,"species"
"270591",247,"19AcARN282.2.1","19AcS11.2.1",0.871691973969631,"species"
"474671",247,"19AcS11.2.1","19AcARN282.2.1",0.871691973969631,"species"
"47536",247,"19AcS11.2.1","05LoS22_10",0.882524054598344,"species"
"47616",247,"19AcS11.2.1","05LoS16R1_16",0.878067484662577,"species"
"47672",247,"19AcS11.2.1","19AcAm205.1.1",0.815077515452427,"species"
"204232",248,"19AcAm128.2.1","19AcAm211.3.1",0.997048212528698,"all1"
"204501",248,"19AcAm128.2.1","19AcARN282.3.1",0.997376188914398,"all1"
"205461",248,"19AcAm128.2.1","19AcS181.3.1",0.998032141685799,"all1"
"205665",248,"19AcAm128.2.1","19AcS397Asp.3.1",0.996392259757298,"all1"
"251582",248,"19AcAm211.3.1","19AcAm128.2.1",0.997048212528698,"all1"
"2520213",248,"19AcAm211.3.1","19AcARN282.3.1",0.997704165300098,"all1"
"2529810",248,"19AcAm211.3.1","19AcS181.3.1",0.998360118071499,"all1"
"253183",248,"19AcAm211.3.1","19AcS397Asp.3.1",0.996720236142998,"all1"
"322861",248,"19AcARN282.3.1","19AcAm128.2.1",0.997376188914398,"all1"
"323045",248,"19AcARN282.3.1","19AcAm211.3.1",0.997704165300098,"all1"
"324264",248,"19AcARN282.3.1","19AcS181.3.1",0.998688094457199,"all1"
"324462",248,"19AcARN282.3.1","19AcS397Asp.3.1",0.997048212528698,"all1"
"576301",248,"19AcS181.3.1","19AcAm128.2.1",0.998032141685799,"all1"
"576481",248,"19AcS181.3.1","19AcAm211.3.1",0.998360118071499,"all1"
"576754",248,"19AcS181.3.1","19AcARN282.3.1",0.998688094457199,"all1"
"577901",248,"19AcS181.3.1","19AcS397Asp.3.1",0.997704165300098,"all1"
"629104",248,"19AcS397Asp.3.1","19AcAm128.2.1",0.996392259757298,"all1"
"629283",248,"19AcS397Asp.3.1","19AcAm211.3.1",0.996720236142998,"all1"
"629551",248,"19AcS397Asp.3.1","19AcARN282.3.1",0.997048212528698,"all1"
"630511",248,"19AcS397Asp.3.1","19AcS181.3.1",0.997704165300098,"all1"
"504087",248,"05LoS3_1","09LoS36_3",0.996064283371597,"I3"
"513373",248,"05LoS3_1","19AcAm43.3.1",0.995080354214497,"I3"
"517963",248,"05LoS3_1","19AcHe316.1.1",0.996720236142998,"I3"
"527674",248,"05LoS3_1","CW9",0.998032141685799,"I3"
"635686",248,"09LoS36_3","05LoS3_1",0.996064283371597,"I3"
"645378",248,"09LoS36_3","19AcAm43.3.1",0.995080354214497,"I3"
"649972",248,"09LoS36_3","19AcHe316.1.1",0.996720236142998,"I3"
"659681",248,"09LoS36_3","CW9",0.998032141685799,"I3"
"3090873",248,"19AcAm43.3.1","05LoS3_1",0.995080354214497,"I3"
"3091379",248,"19AcAm43.3.1","09LoS36_3",0.995080354214497,"I3"
"3105162",248,"19AcAm43.3.1","19AcHe316.1.1",0.995736306985897,"I3"
"3114864",248,"19AcAm43.3.1","CW9",0.997048212528698,"I3"
