"","isolate1","isolate2","ani","haplotype","sample"
"34754","19AcHe316.1.1","19AcS312.2.1",99.4532,"K1_R3_I1_G1",204
"50918","19AcS312.2.1","19AcGLB198.2.2",99.7457,"K1_R3_I1_G1",204
"50921","19AcS312.2.1","19AcGLB102.2.2",99.7302,"K1_R3_I1_G1",204
"50953","19AcS312.2.1","05LoS16R1_16",99.6568,"K1_R3_I1_G1",204
"51004","19AcS312.2.1","19AcHe316.1.1",99.4518,"K1_R3_I1_G1",204
"17086","05LoS16R1_16","05LoS3_1",99.6916,"K1_R1_I3_G1",204
"17606","05LoS16R1_16","19AcARN268.1.1",99.5394,"K1_R1_I3_G1",204
"176912","05LoS16R1_16","19AcHe316.1.1",99.5166,"K1_R1_I3_G1",204
"17996","05LoS16R1_16","19AcAm43.3.1",99.3223,"K1_R1_I3_G1",204
"36272","05LoS3_1","05LoS16R1_16",99.6924,"K1_R1_I3_G1",204
"3659","05LoS3_1","19AcARN268.1.1",99.6042,"K1_R1_I3_G1",204
"3702","05LoS3_1","19AcHe316.1.1",99.5049,"K1_R1_I3_G1",204
"3711","05LoS3_1","19AcAm43.3.1",99.4302,"K1_R1_I3_G1",204
"170631","19AcARN268.1.1","05LoS3_1",99.5995,"K1_R1_I3_G1",204
"17076","19AcARN268.1.1","05LoS16R1_16",99.5361,"K1_R1_I3_G1",204
"17080","19AcARN268.1.1","19AcHe316.1.1",99.5239,"K1_R1_I3_G1",204
"170931","19AcARN268.1.1","19AcAm43.3.1",99.3991,"K1_R1_I3_G1",204
"26817","19AcAm43.3.1","05LoS3_1",99.4291,"K1_R1_I3_G1",204
"26826","19AcAm43.3.1","19AcARN268.1.1",99.4059,"K1_R1_I3_G1",204
"26846","19AcAm43.3.1","19AcHe316.1.1",99.3813,"K1_R1_I3_G1",204
"26869","19AcAm43.3.1","05LoS16R1_16",99.3185,"K1_R1_I3_G1",204
"34725","19AcHe316.1.1","19AcARN268.1.1",99.5279,"K1_R1_I3_G1",204
"347351","19AcHe316.1.1","05LoS16R1_16",99.5159,"K1_R1_I3_G1",204
"347411","19AcHe316.1.1","05LoS3_1",99.5046,"K1_R1_I3_G1",204
"34767","19AcHe316.1.1","19AcAm43.3.1",99.3829,"K1_R1_I3_G1",204
"18018","19AcAm129.2.1","19AcD266.1.1",99.6275,"K1_R1_I1_G1",205
"180191","19AcAm129.2.1","CW9",99.6226,"K1_R1_I1_G1",205
"180561","19AcAm129.2.1","19AcAm211.3.1",99.2435,"K1_R1_I1_G1",205
"21929","19AcAm211.3.1","19AcD266.1.1",99.5919,"K1_R1_I1_G1",205
"21966","19AcAm211.3.1","19AcAm129.2.1",99.3468,"K1_R1_I1_G1",205
"22010","19AcAm211.3.1","CW9",98.9068,"K1_R1_I1_G1",205
"24638","19AcD266.1.1","19AcAm129.2.1",99.7749,"K1_R1_I1_G1",205
"24655","19AcD266.1.1","19AcAm211.3.1",99.611,"K1_R1_I1_G1",205
"24666","19AcD266.1.1","CW9",99.4942,"K1_R1_I1_G1",205
"51076","CW9","19AcAm129.2.1",99.6233,"K1_R1_I1_G1",205
"51087","CW9","19AcD266.1.1",99.3057,"K1_R1_I1_G1",205
"51141","CW9","19AcAm211.3.1",98.9164,"K1_R1_I1_G1",205
"13872","05LoS16R1_16","19AcGLB102.2.2",99.6264,"K1_R3_I1_G1",205
"14131","05LoS16R1_16","19AcHe316.1.1",99.421,"K1_R3_I1_G1",205
"1444","05LoS16R1_16","19AcS312.2.1",99.2318,"K1_R3_I1_G1",205
"14651","05LoS16R1_16","19AcARN268.1.1",99.1313,"K1_R3_I1_G1",205
"150821","19AcARN268.1.1","19AcS312.2.1",99.6187,"K1_R3_I1_G1",205
"15136","19AcARN268.1.1","19AcGLB102.2.2",99.2247,"K1_R3_I1_G1",205
"151521","19AcARN268.1.1","05LoS16R1_16",99.1157,"K1_R3_I1_G1",205
"15156","19AcARN268.1.1","19AcHe316.1.1",99.1055,"K1_R3_I1_G1",205
"271611","19AcGLB102.2.2","05LoS16R1_16",99.6277,"K1_R3_I1_G1",205
"27174","19AcGLB102.2.2","19AcHe316.1.1",99.5156,"K1_R3_I1_G1",205
"271821","19AcGLB102.2.2","19AcS312.2.1",99.4336,"K1_R3_I1_G1",205
"27221","19AcGLB102.2.2","19AcARN268.1.1",99.242,"K1_R3_I1_G1",205
"31035","19AcHe316.1.1","19AcGLB102.2.2",99.5169,"K1_R3_I1_G1",205
"31048","19AcHe316.1.1","05LoS16R1_16",99.4194,"K1_R3_I1_G1",205
"31075","19AcHe316.1.1","19AcS312.2.1",99.2025,"K1_R3_I1_G1",205
"31097","19AcHe316.1.1","19AcARN268.1.1",99.104,"K1_R3_I1_G1",205
"45640","19AcS312.2.1","19AcARN268.1.1",99.6162,"K1_R3_I1_G1",205
"456701","19AcS312.2.1","19AcGLB102.2.2",99.4154,"K1_R3_I1_G1",205
"45694","19AcS312.2.1","05LoS16R1_16",99.2175,"K1_R3_I1_G1",205
"456981","19AcS312.2.1","19AcHe316.1.1",99.2101,"K1_R3_I1_G1",205
"3893","05LoS3_1","19AcAm43.3.1",99.6095,"K1_R1_I3_G1",205
"39251","05LoS3_1","19AcHe316.1.1",99.4055,"K1_R1_I3_G1",205
"3990","05LoS3_1","19AcPa177.2.2",99.0449,"K1_R1_I3_G1",205
"3991","05LoS3_1","19AcARN300.2.1",98.999,"K1_R1_I3_G1",205
"16040","19AcARN300.2.1","19AcAm43.3.1",99.1032,"K1_R1_I3_G1",205
"160541","19AcARN300.2.1","05LoS3_1",98.9883,"K1_R1_I3_G1",205
"16058","19AcARN300.2.1","19AcPa177.2.2",98.9789,"K1_R1_I3_G1",205
"16071","19AcARN300.2.1","19AcHe316.1.1",98.8656,"K1_R1_I3_G1",205
"24414","19AcAm43.3.1","19AcHe316.1.1",99.7133,"K1_R1_I3_G1",205
"244281","19AcAm43.3.1","05LoS3_1",99.6121,"K1_R1_I3_G1",205
"244882","19AcAm43.3.1","19AcARN300.2.1",99.2402,"K1_R1_I3_G1",205
"24515","19AcAm43.3.1","19AcPa177.2.2",98.9601,"K1_R1_I3_G1",205
"31015","19AcHe316.1.1","19AcAm43.3.1",99.7105,"K1_R1_I3_G1",205
"31049","19AcHe316.1.1","05LoS3_1",99.4083,"K1_R1_I3_G1",205
"311272","19AcHe316.1.1","19AcARN300.2.1",98.8629,"K1_R1_I3_G1",205
"31131","19AcHe316.1.1","19AcPa177.2.2",98.7601,"K1_R1_I3_G1",205
"38148","19AcPa177.2.2","05LoS3_1",99.0303,"K1_R1_I3_G1",205
"381551","19AcPa177.2.2","19AcARN300.2.1",98.971,"K1_R1_I3_G1",205
"38164","19AcPa177.2.2","19AcAm43.3.1",98.9309,"K1_R1_I3_G1",205
"38196","19AcPa177.2.2","19AcHe316.1.1",98.7523,"K1_R1_I3_G1",205
"1957","05LoS1_4","CW9",99.6501,"K1_R1_I1_G1",206
"1984","05LoS1_4","19AcAm40.3.1",99.5543,"K1_R1_I1_G1",206
"1996","05LoS1_4","19AcAm206.2.1",99.5431,"K1_R1_I1_G1",206
"2012","05LoS1_4","19AcD266.1.1",99.51,"K1_R1_I1_G1",206
"24064","19AcAm206.2.1","19AcD266.1.1",99.9542,"K1_R1_I1_G1",206
"24097","19AcAm206.2.1","CW9",99.5931,"K1_R1_I1_G1",206
"24115","19AcAm206.2.1","05LoS1_4",99.5422,"K1_R1_I1_G1",206
"24134","19AcAm206.2.1","19AcAm40.3.1",99.4832,"K1_R1_I1_G1",206
"26563","19AcAm40.3.1","05LoS1_4",99.5567,"K1_R1_I1_G1",206
"26575","19AcAm40.3.1","CW9",99.5325,"K1_R1_I1_G1",206
"26603","19AcAm40.3.1","19AcAm206.2.1",99.3687,"K1_R1_I1_G1",206
"26609","19AcAm40.3.1","19AcD266.1.1",99.3401,"K1_R1_I1_G1",206
"28434","19AcD266.1.1","19AcAm206.2.1",99.9534,"K1_R1_I1_G1",206
"28471","19AcD266.1.1","CW9",99.5571,"K1_R1_I1_G1",206
"28488","19AcD266.1.1","05LoS1_4",99.5086,"K1_R1_I1_G1",206
"28508","19AcD266.1.1","19AcAm40.3.1",99.45,"K1_R1_I1_G1",206
"58094","CW9","05LoS1_4",99.6515,"K1_R1_I1_G1",206
"58137","CW9","19AcAm206.2.1",99.5871,"K1_R1_I1_G1",206
"58155","CW9","19AcD266.1.1",99.5577,"K1_R1_I1_G1",206
"58166","CW9","19AcAm40.3.1",99.5327,"K1_R1_I1_G1",206
"18020","19AcARN268.1.1","19AcHe316.1.1",99.7248,"K1_R3_I1_G1",206
"180421","19AcARN268.1.1","19AcGLB102.2.2",99.6803,"K1_R3_I1_G1",206
"18077","19AcARN268.1.1","19AcS312.2.1",99.5862,"K1_R3_I1_G1",206
"32093","19AcGLB102.2.2","19AcS312.2.1",99.8229,"K1_R3_I1_G1",206
"321251","19AcGLB102.2.2","19AcARN268.1.1",99.6575,"K1_R3_I1_G1",206
"32197","19AcGLB102.2.2","19AcHe316.1.1",99.489,"K1_R3_I1_G1",206
"36697","19AcHe316.1.1","19AcARN268.1.1",99.7236,"K1_R3_I1_G1",206
"36783","19AcHe316.1.1","19AcGLB102.2.2",99.4175,"K1_R3_I1_G1",206
"36819","19AcHe316.1.1","19AcS312.2.1",99.3106,"K1_R3_I1_G1",206
"52739","19AcS312.2.1","19AcGLB102.2.2",99.8261,"K1_R3_I1_G1",206
"52793","19AcS312.2.1","19AcARN268.1.1",99.5597,"K1_R3_I1_G1",206
"52856","19AcS312.2.1","19AcHe316.1.1",99.3659,"K1_R3_I1_G1",206
"3935","05LoS3_1","19AcAm43.3.1",99.6117,"K1_R1_I3_G1",206
"39711","05LoS3_1","19AcPa177.2.2",99.5586,"K1_R1_I3_G1",206
"3975","05LoS3_1","19AcHe316.1.1",99.5507,"K1_R1_I3_G1",206
"28208","19AcAm43.3.1","19AcHe316.1.1",99.715,"K1_R1_I3_G1",206
"28239","19AcAm43.3.1","05LoS3_1",99.6077,"K1_R1_I3_G1",206
"282641","19AcAm43.3.1","19AcPa177.2.2",99.5562,"K1_R1_I3_G1",206
"36705","19AcHe316.1.1","19AcAm43.3.1",99.7142,"K1_R1_I3_G1",206
"36742","19AcHe316.1.1","05LoS3_1",99.5477,"K1_R1_I3_G1",206
"36743","19AcHe316.1.1","19AcPa177.2.2",99.5473,"K1_R1_I3_G1",206
"44293","19AcPa177.2.2","19AcAm43.3.1",99.5618,"K1_R1_I3_G1",206
"44297","19AcPa177.2.2","05LoS3_1",99.5543,"K1_R1_I3_G1",206
"443021","19AcPa177.2.2","19AcHe316.1.1",99.5442,"K1_R1_I3_G1",206
"40181","05LoS3_1","19AcPa177.2.2",99.5881,"K1_R1_I1_G1",207
"4065","05LoS3_1","19AcS313A.1.1",99.3996,"K1_R1_I1_G1",207
"4096","05LoS3_1","19AcS136.2.1",99.2748,"K1_R1_I1_G1",207
"40982","05LoS3_1","19AcD266.1.1",99.2704,"K1_R1_I1_G1",207
"24992","19AcD266.1.1","19AcS313A.1.1",99.5601,"K1_R1_I1_G1",207
"25000","19AcD266.1.1","19AcS136.2.1",99.5075,"K1_R1_I1_G1",207
"25064","19AcD266.1.1","05LoS3_1",99.2662,"K1_R1_I1_G1",207
"25068","19AcD266.1.1","19AcPa177.2.2",99.2551,"K1_R1_I1_G1",207
"37249","19AcPa177.2.2","05LoS3_1",99.578,"K1_R1_I1_G1",207
"37299","19AcPa177.2.2","19AcS313A.1.1",99.3114,"K1_R1_I1_G1",207
"37313","19AcPa177.2.2","19AcD266.1.1",99.2498,"K1_R1_I1_G1",207
"373231","19AcPa177.2.2","19AcS136.2.1",99.2271,"K1_R1_I1_G1",207
"40164","19AcS136.2.1","19AcS313A.1.1",99.5334,"K1_R1_I1_G1",207
"40174","19AcS136.2.1","19AcD266.1.1",99.5111,"K1_R1_I1_G1",207
"40234","19AcS136.2.1","05LoS3_1",99.2675,"K1_R1_I1_G1",207
"40245","19AcS136.2.1","19AcPa177.2.2",99.2291,"K1_R1_I1_G1",207
"45070","19AcS313A.1.1","19AcD266.1.1",99.5529,"K1_R1_I1_G1",207
"45079","19AcS313A.1.1","19AcS136.2.1",99.5256,"K1_R1_I1_G1",207
"45111","19AcS313A.1.1","05LoS3_1",99.4008,"K1_R1_I1_G1",207
"45129","19AcS313A.1.1","19AcPa177.2.2",99.3158,"K1_R1_I1_G1",207
"16183","05LoS16R1_16","19AcGLB102.2.2",99.3364,"K1_R3_I1_G1",207
"16342","05LoS16R1_16","19AcARN268.1.1",99.2694,"K1_R3_I1_G1",207
"16601","05LoS16R1_16","19AcGLB198.2.2",99.1523,"K1_R3_I1_G1",207
"16693","05LoS16R1_16","19AcHe316.1.1",99.1072,"K1_R3_I1_G1",207
"15854","19AcARN268.1.1","19AcGLB198.2.2",99.4859,"K1_R3_I1_G1",207
"15875","19AcARN268.1.1","19AcGLB102.2.2",99.4295,"K1_R3_I1_G1",207
"159302","19AcARN268.1.1","05LoS16R1_16",99.268,"K1_R3_I1_G1",207
"15942","19AcARN268.1.1","19AcHe316.1.1",99.2149,"K1_R3_I1_G1",207
"28346","19AcGLB102.2.2","19AcGLB198.2.2",99.5319,"K1_R3_I1_G1",207
"28375","19AcGLB102.2.2","19AcARN268.1.1",99.4326,"K1_R3_I1_G1",207
"28402","19AcGLB102.2.2","05LoS16R1_16",99.3358,"K1_R3_I1_G1",207
"28436","19AcGLB102.2.2","19AcHe316.1.1",99.1265,"K1_R3_I1_G1",207
"30114","19AcGLB198.2.2","19AcGLB102.2.2",99.538,"K1_R3_I1_G1",207
"30129","19AcGLB198.2.2","19AcARN268.1.1",99.4804,"K1_R3_I1_G1",207
"30211","19AcGLB198.2.2","05LoS16R1_16",99.1597,"K1_R3_I1_G1",207
"30225","19AcGLB198.2.2","19AcHe316.1.1",99.0648,"K1_R3_I1_G1",207
"31681","19AcHe316.1.1","19AcARN268.1.1",99.2208,"K1_R3_I1_G1",207
"31716","19AcHe316.1.1","19AcGLB102.2.2",99.1279,"K1_R3_I1_G1",207
"317242","19AcHe316.1.1","05LoS16R1_16",99.1057,"K1_R3_I1_G1",207
"31736","19AcHe316.1.1","19AcGLB198.2.2",99.0687,"K1_R3_I1_G1",207
"15671","05LoS16R1_16","19AcARN300.2.1",99.6045,"K1_R1_I3_G1",207
"163411","05LoS16R1_16","19AcARN268.1.1",99.2694,"K1_R1_I3_G1",207
"1652","05LoS16R1_16","19AcAm43.3.1",99.1981,"K1_R1_I3_G1",207
"166912","05LoS16R1_16","19AcHe316.1.1",99.1072,"K1_R1_I3_G1",207
"15876","19AcARN268.1.1","19AcAm43.3.1",99.4231,"K1_R1_I3_G1",207
"159051","19AcARN268.1.1","19AcARN300.2.1",99.3513,"K1_R1_I3_G1",207
"159301","19AcARN268.1.1","05LoS16R1_16",99.268,"K1_R1_I3_G1",207
"159421","19AcARN268.1.1","19AcHe316.1.1",99.2149,"K1_R1_I3_G1",207
"171791","19AcARN300.2.1","05LoS16R1_16",99.6062,"K1_R1_I3_G1",207
"172231","19AcARN300.2.1","19AcARN268.1.1",99.3505,"K1_R1_I3_G1",207
"172511","19AcARN300.2.1","19AcAm43.3.1",99.2418,"K1_R1_I3_G1",207
"17285","19AcARN300.2.1","19AcHe316.1.1",99.125,"K1_R1_I3_G1",207
"24773","19AcAm43.3.1","19AcARN268.1.1",99.4188,"K1_R1_I3_G1",207
"24810","19AcAm43.3.1","19AcARN300.2.1",99.2567,"K1_R1_I3_G1",207
"24837","19AcAm43.3.1","05LoS16R1_16",99.2076,"K1_R1_I3_G1",207
"24874","19AcAm43.3.1","19AcHe316.1.1",99.0231,"K1_R1_I3_G1",207
"316811","19AcHe316.1.1","19AcARN268.1.1",99.2208,"K1_R1_I3_G1",207
"31718","19AcHe316.1.1","19AcARN300.2.1",99.1203,"K1_R1_I3_G1",207
"317241","19AcHe316.1.1","05LoS16R1_16",99.1057,"K1_R1_I3_G1",207
"31753","19AcHe316.1.1","19AcAm43.3.1",99.0237,"K1_R1_I3_G1",207
"315551","19AcGLB102.2.2","19AcS313A.1.1",99.9016,"K1_R1_I1_G1",208
"316001","19AcGLB102.2.2","19AcS312.2.1",99.6354,"K1_R1_I1_G1",208
"316013","19AcGLB102.2.2","19AcHe316.1.1",99.6315,"K1_R1_I1_G1",208
"316021","19AcGLB102.2.2","19AcS181.3.1",99.6161,"K1_R1_I1_G1",208
"35629","19AcHe316.1.1","19AcS313A.1.1",99.6491,"K1_R1_I1_G1",208
"35636","19AcHe316.1.1","19AcGLB102.2.2",99.6301,"K1_R1_I1_G1",208
"35650","19AcHe316.1.1","19AcS181.3.1",99.55,"K1_R1_I1_G1",208
"35669","19AcHe316.1.1","19AcS312.2.1",99.4671,"K1_R1_I1_G1",208
"47337","19AcS181.3.1","19AcS313A.1.1",99.6226,"K1_R1_I1_G1",208
"47343","19AcS181.3.1","19AcGLB102.2.2",99.6155,"K1_R1_I1_G1",208
"47368","19AcS181.3.1","19AcHe316.1.1",99.5486,"K1_R1_I1_G1",208
"473821","19AcS181.3.1","19AcS312.2.1",99.4937,"K1_R1_I1_G1",208
"50677","19AcS312.2.1","19AcS313A.1.1",99.6889,"K1_R1_I1_G1",208
"506871","19AcS312.2.1","19AcGLB102.2.2",99.6371,"K1_R1_I1_G1",208
"507071","19AcS312.2.1","19AcS181.3.1",99.4995,"K1_R1_I1_G1",208
"50725","19AcS312.2.1","19AcHe316.1.1",99.4715,"K1_R1_I1_G1",208
"51157","19AcS313A.1.1","19AcGLB102.2.2",99.9016,"K1_R1_I1_G1",208
"511932","19AcS313A.1.1","19AcS312.2.1",99.6871,"K1_R1_I1_G1",208
"51199","19AcS313A.1.1","19AcHe316.1.1",99.6509,"K1_R1_I1_G1",208
"51206","19AcS313A.1.1","19AcS181.3.1",99.6226,"K1_R1_I1_G1",208
"16879","05LoS16R1_16","19AcARN268.1.1",99.6216,"K1_R3_I1_G1",208
"17274","05LoS16R1_16","19AcS312.2.1",99.4555,"K1_R3_I1_G1",208
"17368","05LoS16R1_16","19AcHe316.1.1",99.4237,"K1_R3_I1_G1",208
"17895","05LoS16R1_16","19AcGLB198.2.2",98.6594,"K1_R3_I1_G1",208
"184531","19AcARN268.1.1","19AcHe316.1.1",99.6586,"K1_R3_I1_G1",208
"18461","19AcARN268.1.1","19AcS312.2.1",99.6272,"K1_R3_I1_G1",208
"18465","19AcARN268.1.1","05LoS16R1_16",99.6171,"K1_R3_I1_G1",208
"185211","19AcARN268.1.1","19AcGLB198.2.2",98.7675,"K1_R3_I1_G1",208
"33749","19AcGLB198.2.2","19AcARN268.1.1",98.7781,"K1_R3_I1_G1",208
"33757","19AcGLB198.2.2","19AcS312.2.1",98.7432,"K1_R3_I1_G1",208
"33778","19AcGLB198.2.2","05LoS16R1_16",98.6723,"K1_R3_I1_G1",208
"337791","19AcGLB198.2.2","19AcHe316.1.1",98.6678,"K1_R3_I1_G1",208
"35625","19AcHe316.1.1","19AcARN268.1.1",99.6549,"K1_R3_I1_G1",208
"356691","19AcHe316.1.1","19AcS312.2.1",99.4671,"K1_R3_I1_G1",208
"35678","19AcHe316.1.1","05LoS16R1_16",99.425,"K1_R3_I1_G1",208
"35727","19AcHe316.1.1","19AcGLB198.2.2",98.666,"K1_R3_I1_G1",208
"506891","19AcS312.2.1","19AcARN268.1.1",99.6286,"K1_R3_I1_G1",208
"507251","19AcS312.2.1","19AcHe316.1.1",99.4715,"K1_R3_I1_G1",208
"50731","19AcS312.2.1","05LoS16R1_16",99.4564,"K1_R3_I1_G1",208
"50783","19AcS312.2.1","19AcGLB198.2.2",98.7462,"K1_R3_I1_G1",208
"45462","05LoS3_1","19AcARN300.2.1",98.807,"K1_R1_I3_G1",208
"46331","05LoS3_1","19AcHe316.1.1",98.504,"K1_R1_I3_G1",208
"4654","05LoS3_1","19AcPa177.2.2",98.3081,"K1_R1_I3_G1",208
"199061","19AcARN300.2.1","19AcHe316.1.1",98.8767,"K1_R1_I3_G1",208
"19918","19AcARN300.2.1","05LoS3_1",98.8261,"K1_R1_I3_G1",208
"19949","19AcARN300.2.1","19AcPa177.2.2",98.5551,"K1_R1_I3_G1",208
"35708","19AcHe316.1.1","19AcPa177.2.2",99.1656,"K1_R1_I3_G1",208
"35719","19AcHe316.1.1","19AcARN300.2.1",98.8799,"K1_R1_I3_G1",208
"35731","19AcHe316.1.1","05LoS3_1",98.5165,"K1_R1_I3_G1",208
"43331","19AcPa177.2.2","19AcHe316.1.1",99.1567,"K1_R1_I3_G1",208
"433661","19AcPa177.2.2","19AcARN300.2.1",98.5538,"K1_R1_I3_G1",208
"43378","19AcPa177.2.2","05LoS3_1",98.3029,"K1_R1_I3_G1",208
"21067","19AcAm128.2.1","19AcS313A.1.1",99.7586,"K1_R1_I1_G1",209
"21075","19AcAm128.2.1","19AcD266.1.1",99.6933,"K1_R1_I1_G1",209
"21077","19AcAm128.2.1","19AcS121.1.1",99.6815,"K1_R1_I1_G1",209
"283191","19AcD266.1.1","19AcS121.1.1",99.9577,"K1_R1_I1_G1",209
"28335","19AcD266.1.1","19AcAm128.2.1",99.699,"K1_R1_I1_G1",209
"28345","19AcD266.1.1","19AcS313A.1.1",99.5863,"K1_R1_I1_G1",209
"45500","19AcS121.1.1","19AcD266.1.1",99.9582,"K1_R1_I1_G1",209
"455171","19AcS121.1.1","19AcAm128.2.1",99.6849,"K1_R1_I1_G1",209
"45525","19AcS121.1.1","19AcS313A.1.1",99.598,"K1_R1_I1_G1",209
"52049","19AcS313A.1.1","19AcAm128.2.1",99.7583,"K1_R1_I1_G1",209
"520991","19AcS313A.1.1","19AcS121.1.1",99.6037,"K1_R1_I1_G1",209
"52103","19AcS313A.1.1","19AcD266.1.1",99.5889,"K1_R1_I1_G1",209
"17946","19AcARN268.1.1","19AcS312.2.1",99.6062,"K1_R3_I1_G1",209
"179511","19AcARN268.1.1","19AcHe316.1.1",99.5871,"K1_R3_I1_G1",209
"179872","19AcARN268.1.1","19AcGLB102.2.2",99.4749,"K1_R3_I1_G1",209
"179931","19AcARN268.1.1","19AcGLB198.2.2",99.4662,"K1_R3_I1_G1",209
"31984","19AcGLB102.2.2","19AcS312.2.1",99.6105,"K1_R3_I1_G1",209
"320221","19AcGLB102.2.2","19AcGLB198.2.2",99.5104,"K1_R3_I1_G1",209
"32032","19AcGLB102.2.2","19AcHe316.1.1",99.4882,"K1_R3_I1_G1",209
"320351","19AcGLB102.2.2","19AcARN268.1.1",99.4723,"K1_R3_I1_G1",209
"34152","19AcGLB198.2.2","19AcS312.2.1",99.6141,"K1_R3_I1_G1",209
"341652","19AcGLB198.2.2","19AcHe316.1.1",99.5703,"K1_R3_I1_G1",209
"34190","19AcGLB198.2.2","19AcGLB102.2.2",99.5145,"K1_R3_I1_G1",209
"342071","19AcGLB198.2.2","19AcARN268.1.1",99.4625,"K1_R3_I1_G1",209
"36320","19AcHe316.1.1","19AcS312.2.1",99.7056,"K1_R3_I1_G1",209
"36360","19AcHe316.1.1","19AcARN268.1.1",99.5862,"K1_R3_I1_G1",209
"36364","19AcHe316.1.1","19AcGLB198.2.2",99.5731,"K1_R3_I1_G1",209
"36392","19AcHe316.1.1","19AcGLB102.2.2",99.4882,"K1_R3_I1_G1",209
"51562","19AcS312.2.1","19AcHe316.1.1",99.7042,"K1_R3_I1_G1",209
"51588","19AcS312.2.1","19AcGLB102.2.2",99.6106,"K1_R3_I1_G1",209
"515901","19AcS312.2.1","19AcGLB198.2.2",99.609,"K1_R3_I1_G1",209
"515921","19AcS312.2.1","19AcARN268.1.1",99.6075,"K1_R3_I1_G1",209
"14943","05LoS16R1_16","19AcARN300.2.1",99.553,"K1_R1_I3_G1",209
"1538","05LoS16R1_16","19AcAm43.3.1",99.4357,"K1_R1_I3_G1",209
"1540","05LoS16R1_16","19AcARN268.1.1",99.4346,"K1_R1_I3_G1",209
"17937","19AcARN268.1.1","19AcARN300.2.1",99.6575,"K1_R1_I3_G1",209
"17970","19AcARN268.1.1","19AcAm43.3.1",99.5512,"K1_R1_I3_G1",209
"18006","19AcARN268.1.1","05LoS16R1_16",99.4383,"K1_R1_I3_G1",209
"19401","19AcARN300.2.1","19AcARN268.1.1",99.6559,"K1_R1_I3_G1",209
"194291","19AcARN300.2.1","19AcAm43.3.1",99.6047,"K1_R1_I3_G1",209
"194481","19AcARN300.2.1","05LoS16R1_16",99.5537,"K1_R1_I3_G1",209
"281261","19AcAm43.3.1","19AcARN300.2.1",99.5974,"K1_R1_I3_G1",209
"28152","19AcAm43.3.1","19AcARN268.1.1",99.5416,"K1_R1_I3_G1",209
"28182","19AcAm43.3.1","05LoS16R1_16",99.4324,"K1_R1_I3_G1",209
"4386","05LoS3_1","19AcS181.1.1",99.7568,"K1_R1_I1_G1",210
"44011","05LoS3_1","19AcHe317.2.1",99.1755,"K1_R1_I1_G1",210
"4463","05LoS3_1","19AcGLB232.1.1",98.9811,"K1_R1_I1_G1",210
"44762","05LoS3_1","19AcAm40.3.1",98.9455,"K1_R1_I1_G1",210
"23960","19AcAm40.3.1","19AcGLB232.1.1",99.1357,"K1_R1_I1_G1",210
"23974","19AcAm40.3.1","19AcS181.1.1",99.042,"K1_R1_I1_G1",210
"24007","19AcAm40.3.1","19AcHe317.2.1",98.9988,"K1_R1_I1_G1",210
"24029","19AcAm40.3.1","05LoS3_1",98.927,"K1_R1_I1_G1",210
"310971","19AcGLB232.1.1","19AcAm40.3.1",99.1496,"K1_R1_I1_G1",210
"311101","19AcGLB232.1.1","19AcS181.1.1",99.1137,"K1_R1_I1_G1",210
"31154","19AcGLB232.1.1","19AcHe317.2.1",99.0125,"K1_R1_I1_G1",210
"31160","19AcGLB232.1.1","05LoS3_1",98.9961,"K1_R1_I1_G1",210
"33384","19AcHe317.2.1","05LoS3_1",99.1821,"K1_R1_I1_G1",210
"33416","19AcHe317.2.1","19AcS181.1.1",99.0378,"K1_R1_I1_G1",210
"33436","19AcHe317.2.1","19AcAm40.3.1",99.0088,"K1_R1_I1_G1",210
"33439","19AcHe317.2.1","19AcGLB232.1.1",99.0041,"K1_R1_I1_G1",210
"44185","19AcS181.1.1","05LoS3_1",99.7573,"K1_R1_I1_G1",210
"44199","19AcS181.1.1","19AcGLB232.1.1",99.0972,"K1_R1_I1_G1",210
"44241","19AcS181.1.1","19AcAm40.3.1",99.0396,"K1_R1_I1_G1",210
"442491","19AcS181.1.1","19AcHe317.2.1",99.021,"K1_R1_I1_G1",210
"16313","05LoS16R1_16","19AcS312.2.1",99.6891,"K1_R3_I1_G1",210
"17026","05LoS16R1_16","19AcARN268.1.1",99.0025,"K1_R3_I1_G1",210
"17067","05LoS16R1_16","19AcGLB198.2.2",98.9887,"K1_R3_I1_G1",210
"17324","05LoS16R1_16","19AcHe316.1.1",98.8762,"K1_R3_I1_G1",210
"165891","19AcARN268.1.1","19AcHe316.1.1",99.5106,"K1_R3_I1_G1",210
"16598","19AcARN268.1.1","19AcS312.2.1",99.1724,"K1_R3_I1_G1",210
"166212","19AcARN268.1.1","19AcGLB198.2.2",99.108,"K1_R3_I1_G1",210
"166662","19AcARN268.1.1","05LoS16R1_16",98.9932,"K1_R3_I1_G1",210
"30855","19AcGLB198.2.2","19AcS312.2.1",99.2001,"K1_R3_I1_G1",210
"30884","19AcGLB198.2.2","19AcARN268.1.1",99.1017,"K1_R3_I1_G1",210
"30927","19AcGLB198.2.2","05LoS16R1_16",98.9876,"K1_R3_I1_G1",210
"30942","19AcGLB198.2.2","19AcHe316.1.1",98.9082,"K1_R3_I1_G1",210
"33142","19AcHe316.1.1","19AcARN268.1.1",99.5202,"K1_R3_I1_G1",210
"33178","19AcHe316.1.1","19AcGLB198.2.2",98.9256,"K1_R3_I1_G1",210
